emp_no,last_name,first_name,gender,salary
11106,Iwayama,Aris,F,71446
11112,Mukaidono,Boaz,M,40000
11113,Peng,Shahab,F,66401
11121,Kakkad,Vugranam,F,40000
11133,Azulay,Nalini,M,40000
11134,Rajcani,Sachar,F,58731
11137,Luca,Hugh,M,40000
11139,Homond,Bogdan,F,63596
11146,Masand,Ishfaq,F,96019
11148,Botman,Zhanqiu,F,56344
11162,Narlikar,Kauko,F,69873
11180,Bojadziev,Mitsuyuki,F,40000
11197,Fordan,Tadahiro,M,88741
11204,Covnot,Diederik,M,40000
11207,Gips,Saeed,F,49728
11208,Valtorta,Saniya,F,83660
11211,Rissland,Yurij,M,72668
11217,Mawatari,Kellie,M,40000
11232,Crelier,Hidefumi,M,43863
11240,Condotta,Kiam,M,61739
11249,Cyre,Randi,M,43324
11251,Chinal,Bezalel,M,69432
11268,Petersohn,Aimee,F,40000
11275,Eppinger,Hitomi,F,58382
11290,Dredge,Visit,M,65034
11295,Lanzelotte,Abdelkader,M,66622
11319,Marrakchi,Pranas,F,40000
11320,McAlpine,Atilio,M,45118
11322,Pocchiola,Nathalie,F,43021
11324,Billingsley,Kauko,F,54288
11338,Hanratty,Kwangsub,M,82210
11339,Massonet,Flemming,M,40000
11347,Jonsson,Anneli,M,41524
11365,Shinomoto,Toshimi,M,56463
11376,Suomi,Valery,M,46964
11380,Pelc,Kenroku,M,53345
11385,Ullian,Shiv,M,40000
11386,Assaf,Alselm,F,47726
11393,Junot,Junsik,M,40000
11398,Peir,Oscar,M,44625
11404,Borovoy,Bedrich,M,42907
11415,Anido,Sanjiv,M,40000
11421,Msuda,Josyula,F,52416
11441,Aingworth,Marlo,M,67352
11449,Asser,Kotesh,M,61434
11459,Suomi,Duke,M,40000
11469,Giaccio,Guttorm,M,44625
11506,Picel,Rance,F,89747
11509,Feldhoffer,Aleksander,M,40000
11513,Mahnke,Otmar,M,82525
11515,Basawa,Ulf,F,70182
11518,Oxman,Jinxi,M,40000
11524,Standera,Xiadong,M,41081
11527,Boyle,Alagu,M,60212
11528,Dolinsky,Zito,M,44026
11537,Pehl,DAIDA,M,96023
11554,Taubenfeld,Subhash,M,46065
11555,Perfilyeva,Kotesh,M,40000
11567,Mitzlaff,Teiji,M,86261
11568,Fujisaki,Martins,M,54673
11603,Swen,Herb,F,69180
11607,Foong,Tomokazu,F,49584
11615,Isaak,Shem,F,46591
11624,Gammage,Adil,M,42001
11628,Malinowski,Fan,M,43966
11640,Coorg,Valeri,M,52520
11647,Nitsche,Magy,M,40000
11660,Stenning,Gill,F,65758
11673,Felder,Henk,F,40000
11676,Ferriere,Valeri,F,43310
11681,Benzmuller,Fumitake,F,40000
11684,Gide,Oksana,F,68753
11696,Rothe,Dante,M,51633
11732,Ranft,Sanjoy,F,40000
11735,Picci,Amalendu,M,40000
11746,Marrakchi,Koichi,F,55951
11751,Emiris,Jiafu,M,40000
11764,Anick,Sanjay,F,64875
11769,Lampe,Chandrasekaran,M,40000
11772,Penz,Gaurav,F,61295
11797,Thambidurai,Chenxi,M,88050
11810,Bhattacharjee,Amabile,M,41256
11817,Markovitch,Niranjan,M,50638
11832,Zlotek,Arto,M,40000
11844,Demeyer,Shawna,M,78049
11853,Kusakabe,Zeljko,F,61941
11857,Farrag,Divier,F,94805
11864,Kriebel,Pradeep,F,52517
11871,Sommen,Nalini,M,67424
11872,Riexinger,Cheong,M,43159
11894,Validov,Mitchel,M,56198
11897,Setlzner,Cordelia,M,80049
11906,Boguraev,Hideo,F,81324
11915,Mawatari,Miomir,M,58042
11931,Chiodo,Gunilla,F,73369
11933,Erman,Basil,M,56130
11949,Harbusch,Martijn,M,40000
11983,Hedayat,Jaana,M,40000
11993,Dalphin,Marit,M,56505
12011,Coorg,Zhilian,F,85833
12036,Ratzlaff,Mads,M,67143
12037,Katzenelson,Arunas,M,47805
12050,Tchuente,Yuchang,F,46704
12062,Worfolk,Margareta,M,44199
12069,Burnard,Ayonca,M,51928
12070,Shokrollahi,Ger,M,50233
12076,Siprelle,Karlis,F,75381
12082,Yamaashi,Xinan,M,72118
12089,Socorro,Bilhanan,M,46288
12099,Kuzuoka,Nobuyoshi,M,104610
12112,Avouris,Satyanarayana,M,76538
12122,Krone,Satoru,F,46398
12123,Syrzycki,Xiahua,F,64879
12125,Erman,Shounak,F,41215
12149,Grandbois,Suebskul,M,109934
12159,Perly,Shem,M,61210
12165,Maquelin,Xiaobin,F,41951
12183,Iisaku,Harngdar,M,40000
12192,Klyachko,Feiyu,F,41625
12205,Rossi,Sushant,M,40000
12206,Janetzko,Barton,F,40000
12218,Strooper,Yaghout,M,40000
12221,Melter,Vincent,M,56736
12222,Holburn,Abdelwaheb,F,55840
12223,Koyama,Niteen,F,54459
12247,Penttonen,Subbu,F,59183
12249,Sadowski,Eldridge,M,70099
12256,Reghbati,Guadalupe,F,40000
12264,Pagter,Mart,M,51816
12270,Kornyak,Shakhar,M,52840
12272,Grandbois,Behnaam,F,43811
12308,Cronau,Mototsugu,M,58741
12311,Lubachevsky,Susanne,M,40000
12327,Bruckman,DAIDA,M,67449
12341,Luga,Rasiah,M,40000
12343,Slaats,Sorina,M,52134
12365,Bisiani,Kamakshi,M,40000
12373,Driscoll,Mooi,F,75986
12395,Felder,Sanjit,M,66909
12399,Luga,Mihalis,M,85582
12411,Ibel,Shao,M,97610
12413,Gadepally,Hugh,F,53179
12417,Spelt,Dannz,F,67342
12422,Demos,Berhard,F,71376
12454,Farris,Kerryn,F,41347
12464,Milicic,Shai,F,50448
12475,Roison,Filipe,M,40000
12487,Reghbati,Mona,F,40000
12489,Munck,Arnould,F,63306
12490,Muchinsky,Jackson,F,40000
12497,Penz,Stein,M,81191
12501,Matheson,Morrie,F,76082
12504,Rosaz,Adly,F,40000
12514,Melter,Tomofumi,M,54241
12528,Cincotta,Conor,F,40000
12534,Gerlach,Yongmao,M,66715
12541,Nanard,Shih,M,93105
12542,Bouloucos,Kazuhide,F,44176
12551,Tzvieli,Jeane,M,40000
12553,Vesna,Aral,M,40000
12557,Kopetz,Stafford,M,41840
12589,Chleq,Anoosh,M,59441
12596,Roisin,Breannda,M,40000
12601,Simkin,Ghassan,M,41714
12608,Mondadori,Nectarios,M,40000
12635,Restivo,Xinyu,F,40000
12638,Seiwald,Yuqun,F,56677
12642,Gips,Suebskul,F,68271
12651,Bael,Pragnesh,M,75150
12662,Alvarado,Leucio,M,69016
12663,Stellhorn,Nobuyoshi,M,49966
12664,Parveen,Zhonghua,M,40000
12689,Boudaillier,Luerbio,M,59689
12691,Gils,Oddvar,M,48493
12697,Brizzi,Uri,M,40000
12709,Botman,Ronghao,M,45510
12717,Jiafu,Tzu,F,53194
12722,Cheshire,Elliott,F,62325
12726,Panwar,Fumitake,M,61177
12729,Rahier,Nahla,F,51796
12731,Waymire,Yongmao,F,40000
12732,Takanami,Mara,M,74436
12734,Frijda,Gil,M,40000
12755,Rodite,Rildo,F,40196
12773,Lovengreen,Jenwei,M,65556
12790,Perl,Gunilla,F,87760
12795,Fordan,Masoud,M,56969
12798,Beeson,Lillian,F,81145
12803,Boissier,Gad,M,91789
12815,Junot,Sushant,M,65073
12819,Gubsky,Mountaz,M,48455
12848,Smeets,Kazuhide,M,40000
12863,Matheson,Leif,M,62803
12872,Schmittgen,Marl,F,56040
12879,Eugenio,Baruch,M,40000
12890,Casley,Neven,F,66803
12893,Crouzet,Licheng,M,50803
12895,Serot,Roddy,M,40000
12905,Gecsei,Munehiro,M,58659
12926,Luby,Heekeun,M,68314
12940,Farrar,Odinaldo,F,49760
12941,Perelgut,Tommaso,F,67069
12949,Asrin,Geoff,F,40000
12977,Markovitch,Byong,M,61326
12983,Hambrick,Elliott,F,57252
13030,Kroll,Yahiko,M,51770
13046,Stafford,Vivian,M,40000
13047,Chelton,Atilio,M,52323
13075,Morrin,Rosella,M,40000
13076,Skafidas,Deniz,F,50582
13096,Armand,Ibibia,M,52544
13103,Ellozy,Srinidhi,F,40000
13124,Garnick,Quingbo,F,73785
13133,Senzako,Guther,M,67777
13134,Chepyzhov,Lorien,M,51227
13144,Nollmann,Persi,M,52825
13146,Erie,Haldon,M,61398
13147,Ginesta,Shichao,M,77429
13156,Millington,Akeel,M,48285
13165,Benner,Lucian,F,42796
13168,Stentiford,Munir,F,49210
13170,Bernardeschi,Cheong,M,49012
13171,Birnbaum,Anoosh,M,40000
13173,Horswill,Arve,M,46354
13179,Janocha,Moty,M,90233
13182,Rodite,Kokou,M,46832
13186,Barbanera,Kyoichi,M,93138
13192,Flowers,Rosita,M,43986
13202,Scharstein,Aram,F,51915
13210,Klassen,Jianhua,M,83961
13213,Billawala,Hein,M,61131
13232,Fujisaki,Mitchel,F,40000
13233,Chvatal,Alselm,M,49414
13238,Foote,Ebru,F,40000
13240,Pileggi,King,M,49018
13250,Schusler,Zeydy,M,47829
13272,Jiang,Arun,F,40000
13276,Seuren,Yechiam,M,65836
13288,Broomell,Muneo,F,40000
13291,Stamatiou,Georg,M,54720
13302,Alencar,Mack,F,40000
13315,Stroustrup,Sakthirel,F,40000
13332,Pearson,Nidapan,F,40000
13333,Hennebert,Yoshinari,M,50997
13341,Doering,Bodh,F,40000
13343,Usery,Heon,M,40000
13368,Klassen,Kiyokazu,M,52872
13371,Riexinger,Nakhoon,F,40000
13373,Naumovich,Juichirou,M,82749
13385,Buchter,Claudi,M,40000
13386,Sgarro,Khosrow,F,91420
13389,Cmelik,Divine,F,40000
13392,Beidas,Fumitake,F,69221
13396,Aumann,Chuanyi,F,40000
13402,Dulli,Augustine,M,40000
13405,Baba,Randy,F,60799
13407,Chenoweth,Gio,M,60348
13408,Lagarias,Sreekrishna,M,52479
13415,Speer,Nathalie,F,61838
13422,Gerlach,Vishwani,F,59466
13442,Miake,Giordano,M,40000
13443,Puppo,Mayuko,M,40000
13445,Dehkordi,Renee,M,53194
13451,Weiland,Gretta,M,40000
13457,Parfitt,Shooichi,M,40812
13458,Nivat,Feipei,F,41375
13463,Berstel,Theron,F,40000
13465,Rehfuss,Sasan,M,49821
13493,Jullig,Uinam,F,40000
13504,Mandell,Parto,F,41895
13524,Porotnikoff,Chaoyi,F,52849
13535,Schlenzig,Arunas,F,40000
13546,Brookner,Aimee,F,50295
13549,Koprowski,Matk,M,40000
13552,Capobianchi,Ingmar,M,73346
13576,Engberts,Jungsoon,F,73022
13605,Encarnacion,Dmitry,F,70404
13621,Haddadi,Fei,M,73192
13624,Yurek,Zhigen,M,40000
13629,Trelles,Dzung,M,40000
13648,Lamba,Zejun,F,47723
13653,Iivonen,Kristen,M,53242
13670,Takanami,Moti,F,40000
13680,Speer,Denny,M,46968
13685,Hockney,Weicheng,F,48322
13697,Weedon,Shuichi,M,40000
13704,Kumaresan,Vishu,F,40000
13721,Delgrossi,Sugwoo,F,64754
13727,Merey,Vitali,M,50798
13738,Mitchem,Bangqing,F,48349
13766,Heemskerk,Tremaine,M,43748
13769,Trogemann,Yakichi,F,61025
13775,Maierhofer,Arve,M,70161
13786,Berendt,Takushi,F,74494
13787,Sinicrope,Xiaobin,F,40000
13792,Sury,Valery,M,59127
13796,Thorelli,Paloma,M,50962
13809,Basagni,Kiyotoshi,M,43735
13815,Plotkin,Guadalupe,M,40000
13825,Pell,Arlette,M,54704
13841,Spinelli,Christophe,M,52277
13842,Cichocki,Juichirou,F,40000
13846,Welham,Guiseppe,M,61097
13853,Roohalamini,Mingsen,M,61615
13859,Fujisawa,Anoosh,M,40000
13884,Swift,Kensei,M,44785
13894,Schonegge,Ult,F,48958
13904,Cairo,Youngkon,M,73885
13934,Bratsberg,Shiv,F,46507
13942,Esteva,Elzbieta,M,40000
13951,Genther,Mooi,F,82054
13960,Hettesheimer,Nechama,M,43204
13962,Ghelli,Maris,M,67965
13966,Cooman,Boguslaw,F,40000
13969,Chandrasekhar,Jianwen,F,60392
13990,Schapiro,Deborah,F,52723
13992,Kenevan,Ulises,M,81318
13999,Crouzet,Florian,M,40000
14005,Stellhorn,Vojin,M,40000
14015,Picaronny,Manibrata,M,63084
14034,Seghrouchni,Aloys,M,69700
14041,DeMori,Shan,F,63235
14067,Trachtenberg,Godehard,M,44669
14088,Leslie,Mori,M,44821
14107,Rindone,Xiahua,M,82396
14111,Cummings,Leszek,F,52696
14118,Anido,Kasturi,M,46248
14167,Hertweck,Adas,F,40000
14191,Luby,Jiann,F,40155
14209,Kusakabe,Masanao,F,40000
14220,Pargas,Tomofumi,F,68017
14232,Bojadziev,Masali,M,50568
14236,Angiulli,Xuedong,F,40000
14237,Gerlach,Abdulla,F,57219
14242,Benaini,Sudhanshu,F,40000
14257,Massonet,Kwok,F,40000
14290,Olivero,Miyeon,M,78736
14292,Vigier,Susanna,F,41846
14298,Granlund,Chriss,F,40000
14310,Leuchs,Marlo,M,40000
14320,Schaar,Sreenivas,M,40000
14322,Kakkad,Shem,M,50363
14323,Leslie,Golgen,F,40000
14340,Wixon,Vitaly,M,42858
14344,Buescher,Otilia,F,41979
14354,Bojadziev,Mong,M,40000
14360,Erbe,Janche,M,43476
14372,Srimani,Saniya,F,57667
14384,Holburn,Tomofumi,F,58260
14422,Gadepally,Toshimo,M,59001
14434,Maginnis,Elvis,M,40000
14439,Woycyznski,Raimond,M,80654
14460,Lueh,Yagil,F,56267
14478,Boissier,Munehiro,F,40000
14481,Lammel,Moti,M,40000
14483,Marrevee,Supot,M,40000
14486,Birdsall,Indrajit,M,40000
14498,Selenyi,Xiong,M,40000
14501,Kroft,Taizo,M,63646
14509,Aloia,Danil,M,40000
14513,Barreiro,Samphel,M,83273
14515,Versino,Kazuhisa,F,61645
14516,Underwood,Kristian,F,73262
14518,Peir,Patricia,M,64238
14522,Ranta,Chuanyi,F,40000
14537,Engelmann,Babette,F,48332
14552,Snyers,Ibibia,M,40000
14556,Zultner,Fatemeh,M,40000
14560,Driscoll,Elrique,M,62770
14581,Condotta,Gao,F,59499
14582,Morrin,Kiyokazu,M,40000
14600,Cairo,Jayson,F,41352
14603,Marquardt,Lech,M,55369
14607,Selvestrel,Suzette,M,67813
14620,Erev,Jianhua,F,53303
14621,Wixon,Souichi,F,66404
14632,McClurg,Gudjon,M,40000
14639,Hempstead,Arvind,F,79405
14640,Kornatzky,Toshimori,M,42662
14642,Kuhnemann,Florian,F,54553
14645,Glinert,Laurentiu,F,45647
14648,Lorys,IEEE,M,89209
14659,Adachi,Sashi,F,40926
14675,Angel,Teunis,F,40000
14677,Sifakis,Herbert,M,40000
14683,Basart,Alois,M,41107
14690,Bellone,Yechezkel,F,40000
14693,Stranks,Brewster,F,59960
14710,Hainaut,Mahmut,F,40341
14723,Assaf,Constantino,M,40000
14724,Lemarechal,Aron,M,66530
14780,Bruckman,Marlo,F,51232
14785,Kaiser,Zhonghua,M,46936
14793,Uchoa,Stein,M,47045
14814,Nishimukai,Odysseas,M,40000
14817,Masaki,Gaurav,M,41203
14821,Kilgore,Oguz,M,42545
14839,Cronin,Changho,M,40000
14853,Nergos,Taiji,F,58311
14877,Meriste,Arto,M,40000
14879,Sigstam,Anyuan,M,54322
14888,Barriga,Temple,F,60916
14899,Casley,Alejandro,M,64365
14906,Parveen,Adil,F,54758
14908,Flanders,Kerhong,F,40000
14909,Kamble,Mohan,M,40000
14911,Chelton,Xiaobin,F,62738
14914,Benzaken,Gretta,F,40000
14915,Picco,Huican,M,40733
14923,Gyorkos,Shuzo,M,40000
14928,Mukaidono,Satoru,F,53377
14941,Lichtner,Nathan,M,43608
14942,Benveniste,Heon,M,40000
14949,Reinhart,Insup,F,44930
14954,Magliocco,Fox,F,43510
14971,Simmen,Fan,M,55187
14983,Pouyioutas,Hyuckchul,M,86754
14993,Koblitz,Sanjay,M,45407
15005,Sadowsky,Kiam,M,50368
15016,Gulik,Woody,F,40000
15018,Prenel,Ramalingam,F,40668
15019,Shokrollahi,Qingxiang,F,41721
15029,Koshino,Giordano,M,40000
15030,Nourani,Rasikan,M,40000
15036,Delgrande,Ziva,M,40000
15049,Waymire,Khun,F,40000
15052,Kranzdorf,Flemming,M,40630
15055,Sherertz,Shrikanth,M,40000
15066,Oaver,Tomokazu,M,43455
15069,Siksek,Manton,M,40000
15071,Couchot,Ayonca,F,97484
15075,Rijsenbrij,Radoslaw,M,40000
15077,Taubenfeld,Toshiki,F,40000
15082,Zirintsis,Guadalupe,F,63024
15087,Ushiama,Chirstian,F,40000
15089,Coney,Giri,F,48594
15092,Bahi,Remmert,F,40000
15102,Axelband,Luigi,F,40374
15105,Itzigehl,Sudhanshu,M,75800
15114,Honglei,Pantung,M,40000
15134,Luiz,Arun,F,62752
15145,Servieres,Haldon,M,51443
15151,Pouyioutas,Urs,F,61253
15176,Sankaranarayanan,Charlene,M,98401
15193,Schach,Neelam,M,47039
15196,Duclos,Souichi,M,55824
15202,Irland,Pranay,M,40000
15208,Shokrollahi,Sudharsan,F,44109
15218,Conry,Shuky,M,44614
15228,Salvesen,Mona,M,40000
15230,Suessmith,Keiichiro,F,70187
15234,Zhiwei,Jouko,F,47654
15237,Sadowsky,Reinhard,M,40000
15243,Famili,Mountaz,F,41015
15248,Baar,Edwin,M,64696
15253,Pardalos,Ayonca,M,40396
15269,Reghbati,Eric,F,60930
15271,Bernardeschi,Shiv,F,88026
15292,Lammel,Miyeon,M,87586
15324,Lunn,Ziya,M,40000
15329,Openshaw,Fan,F,41839
15330,Chinal,Jaroslava,M,53020
15337,Radivojevic,Masaru,M,40000
15343,Luce,Chaosheng,F,48936
15354,Nyrup,Chikara,M,40782
15365,Schiettecatte,Mikhail,M,41309
15369,Penttonen,Premal,F,81954
15370,Nilsson,Chuanyi,F,67631
15372,Broder,Nahum,M,79245
15375,Manders,Shuho,F,65920
15377,Aumann,Shugo,M,50274
15382,Siegrist,Alassane,M,66083
15392,Markovitch,Pradeep,M,55638
15408,Penttonen,Maik,F,40000
15410,Kushner,Wilmer,F,58123
15412,Thiria,Huai,M,62190
15438,Munoz,Constantijn,F,43326
15441,Weisert,Arvind,F,40000
15452,Weedman,Kazuhira,M,40000
15454,Cesareni,Hongzue,F,57571
15470,Huhdanpaa,Weiwu,M,40693
15474,Plumb,Gilbert,M,90430
15479,Soicher,Zhenbing,M,40000
15480,Trogemann,Kwok,M,47645
15504,Alpin,Kasturi,M,40000
15505,Mikschl,Collette,F,56848
15510,Sethi,Inderjeet,M,48661
15511,Kowalchuk,George,F,76880
15518,Valtorta,Uno,F,55563
15525,Cherinka,Masadi,M,40000
15534,Grabner,Guozhong,F,63090
15543,Staelin,Mingdong,F,40000
15548,Caine,Sanjai,M,48171
15563,Zykh,Constantino,M,56239
15565,Muchinsky,True,M,73532
15566,Azuma,Baoqiu,M,61655
15600,Perna,Mack,M,40000
15601,Anily,Carrsten,F,83263
15651,Iwayama,Huan,F,50313
15656,Schaaf,Mohammad,M,66141
15682,Przulj,Hiroyasu,M,40000
15687,Ambroszkiewicz,Dekang,M,62333
15703,Hanratty,Chenye,M,40000
15708,Kushnir,Reuven,F,85063
15714,Bala,Troy,F,40000
15715,Ibel,Insup,F,40000
15726,Parascandalo,Zhilian,M,70522
15739,Bahr,Poorav,F,54605
15740,Pocchiola,Stepehn,M,57994
15750,Bresenham,Arumugam,M,40000
15765,Taubenfeld,Tonny,F,40000
15767,Broomell,Baocai,M,40000
15769,Oskamp,Pranay,M,61575
15788,Deyuan,Taegyun,M,53521
15799,Gelosh,Manton,M,64458
15809,Antonisse,Mingsen,M,50619
15819,Rajcani,Magdalena,M,63847
15821,Antonakopoulos,Aleksander,M,40000
15846,Litecky,Bowen,M,40000
15861,Anido,Gio,F,50890
15866,Seiwald,Angel,M,40000
15869,Bala,Guoxiang,M,40000
15876,Vakili,Munehiro,F,51140
15877,Kroll,Yannik,M,40000
15880,Dechter,Miquel,M,40000
15889,Azumi,Sasan,M,63393
15892,Pettis,Lunjin,F,60367
15901,Fargier,Marsja,F,40000
15902,Stille,Kazuhide,F,40000
15905,Petersohn,DeForest,F,47421
15911,Viele,Shaibal,M,45602
15934,Shinomoto,Kensyu,F,50454
15938,Covnot,Garnik,F,69499
15942,Rosca,Murthy,M,50486
15943,Demke,Yakkov,M,40000
15945,Larfeldt,Hauke,M,57717
15948,Versino,Karoline,F,40000
15955,Dratva,Yuguang,F,45283
15971,Aloia,Arumugam,M,42963
15977,Ballarin,King,M,44282
15978,Wielonsky,Kaijung,F,40000
15993,Peir,Yoshimitsu,M,45611
16000,Demos,Marek,F,40000
16018,Papadias,Boutros,M,52560
16019,Heystek,Chaoyi,F,40000
16025,Luce,Doowon,F,84433
16028,Takkinen,JiYoung,F,53714
16033,Spelt,Wayne,F,40000
16052,Rodham,Maria,F,40000
16066,Penn,Marsha,F,74757
16068,Zongker,Leandro,M,53031
16076,Ebeling,Marko,M,47061
16077,Heemskerk,Kannan,F,49020
16086,Denos,Mohammad,M,42903
16094,Rosar,Berto,M,40000
16099,Ferretti,Mohan,M,40000
16126,Crabtree,Tse,M,68863
16130,Belinskaya,Kerryn,M,40000
16134,Chaudhuri,Annemarie,F,40000
16138,Krzyzanowski,Leucio,M,67593
16154,Docker,Monique,M,40000
16185,Winter,Marin,F,44003
16192,Sigstam,Leandro,M,40000
16201,Olano,Krassimir,M,53081
16227,Vural,Hitomi,F,58619
16229,Lanzelotte,Ronnie,F,40000
16230,Babu,Ung,M,40000
16233,Baba,Sushant,M,54684
16234,Basart,Jacopo,F,40000
16246,Masaki,Makato,M,40000
16252,Mattern,Carrsten,F,64982
16266,Sethi,Mikhail,M,57642
16272,Zeleznik,Shuho,M,40000
16274,Navazio,Sadun,M,65521
16324,Bazzichi,Billie,M,40000
16337,Schaad,Hironoby,M,40000
16341,Fendler,Boutros,F,40000
16355,Luca,Nikolaos,M,80403
16364,Gini,Yifei,M,73503
16365,Mellouli,Janalee,F,40000
16377,Stanger,Duri,M,62147
16380,Chleq,Zhilian,M,42820
16382,Talmon,Chaoyi,M,66986
16383,Czap,Lidong,F,55977
16388,Georgatos,Subhankar,M,40000
16397,Cusworth,Shimshon,F,66757
16398,Krzyzanowski,Limsoon,M,71254
16399,Collette,Apostol,F,59384
16404,Rabehasaina,Rafols,M,45689
16412,Tokunaga,Moss,F,66524
16425,Beerel,Idoia,M,53045
16438,Demeyer,Abdulla,M,52449
16446,Chinin,Jouko,M,94600
16447,Savasere,Zhiguo,F,40000
16448,Zwicker,Tsvetan,M,76979
16453,Basart,Goncalo,M,47433
16471,Birta,Bogdan,M,44976
16479,Eiter,Jixiang,M,62446
16486,Perin,Sanjay,M,57496
16487,Yemenis,Arunas,M,73302
16490,Thiria,Muzhong,M,85462
16491,Radwan,Emdad,M,40000
16504,Cromarty,Mong,F,40000
16510,Vecchio,Mototsugu,M,40000
16537,Seiwald,Weidon,M,40000
16539,Fetvedt,Gretta,M,40000
16546,Lanphier,Sangeeta,M,47819
16549,Thibadeau,Olivera,M,60531
16551,Ranon,Sadegh,M,82980
16556,Hiltgen,Mostafa,M,53954
16567,Senzako,Hein,M,40000
16570,Matzen,Uta,F,46162
16580,Valiente,Masaru,F,40000
16607,Honglei,Vishwani,F,54558
16619,Boguraev,Arvind,F,40000
16657,Heyers,Yongdong,M,63463
16658,Soicher,Florian,M,50917
16672,Peris,Georgi,M,55265
16674,Takanami,Duke,M,40000
16679,Cummings,Domenick,F,40000
16683,Ghandeharizadeh,Hatem,F,60120
16716,Zumaque,Ramachenga,F,54270
16719,Benantar,Sasan,M,40000
16723,Randt,Mohd,F,56932
16729,Broomell,Kirk,M,51318
16731,Versino,Domenico,M,48868
16759,Masaki,Vojin,M,40000
16799,Bamford,Shigeichiro,M,54405
